,0,1,2,3
0,Adiac-MOMENT,Accuracy,no cal,0.9666666666666667
1,Adiac-MOMENT,CE,no cal,0.14503659749557746
2,Adiac-MOMENT,Brier,no cal,0.03214691813572682
3,Adiac-MOMENT,ECE,no cal,0.0019415010230318108
4,Adiac-MOMENT,smECE,no cal,0.005431695581021193
5,Adiac-MOMENT,ACE,no cal,0.046754631623194404
6,Adiac-MOMENT,CE,global,0.14530365340239576
7,Adiac-MOMENT,Brier,global,0.032176713702794464
8,Adiac-MOMENT,ECE,global,0.004826731394170447
9,Adiac-MOMENT,smECE,global,0.005661765812923156
10,Adiac-MOMENT,ACE,global,0.044144011096221396
11,Adiac-MOMENT,CE,kmeans,0.1541961479012904
12,Adiac-MOMENT,Brier,kmeans,0.03254693178833315
13,Adiac-MOMENT,ECE,kmeans,0.018890303613477544
14,Adiac-MOMENT,smECE,kmeans,0.019061978990008364
15,Adiac-MOMENT,ACE,kmeans,0.038833357029813144
16,Adiac-MOMENT,CE,sem aware groupings,0.14488853514194489
17,Adiac-MOMENT,Brier,sem aware groupings,0.03214051289256834
18,Adiac-MOMENT,ECE,sem aware groupings,0.00029024283091227954
19,Adiac-MOMENT,smECE,sem aware groupings,0.005409995439729722
20,Adiac-MOMENT,ACE,sem aware groupings,0.05296991579951002
21,AllGestureWiimoteX-MOMENT,Accuracy,no cal,0.9
22,AllGestureWiimoteX-MOMENT,CE,no cal,0.22463344599999985
23,AllGestureWiimoteX-MOMENT,Brier,no cal,0.06565723867069873
24,AllGestureWiimoteX-MOMENT,ECE,no cal,0.08769849230981305
25,AllGestureWiimoteX-MOMENT,smECE,no cal,0.07460696181018492
26,AllGestureWiimoteX-MOMENT,ACE,no cal,0.10315123316505731
27,AllGestureWiimoteX-MOMENT,CE,global,0.2217131320919388
28,AllGestureWiimoteX-MOMENT,Brier,global,0.07233709808142595
29,AllGestureWiimoteX-MOMENT,ECE,global,0.05981574149957018
30,AllGestureWiimoteX-MOMENT,smECE,global,0.05854028436978654
31,AllGestureWiimoteX-MOMENT,ACE,global,0.08318022579056523
32,AllGestureWiimoteX-MOMENT,CE,kmeans,0.23044477550405976
33,AllGestureWiimoteX-MOMENT,Brier,kmeans,0.07463641011693062
34,AllGestureWiimoteX-MOMENT,ECE,kmeans,0.06327371226605469
35,AllGestureWiimoteX-MOMENT,smECE,kmeans,0.05893997778412764
36,AllGestureWiimoteX-MOMENT,ACE,kmeans,0.08650657270628972
37,AllGestureWiimoteX-MOMENT,CE,sem aware groupings,0.20804853737354279
38,AllGestureWiimoteX-MOMENT,Brier,sem aware groupings,0.06722049920360688
39,AllGestureWiimoteX-MOMENT,ECE,sem aware groupings,0.05446837365627289
40,AllGestureWiimoteX-MOMENT,smECE,sem aware groupings,0.054613215649611496
41,AllGestureWiimoteX-MOMENT,ACE,sem aware groupings,0.0755620023305528
42,AllGestureWiimoteY-MOMENT,Accuracy,no cal,0.91
43,AllGestureWiimoteY-MOMENT,CE,no cal,0.18721054619717004
44,AllGestureWiimoteY-MOMENT,Brier,no cal,0.052548615904186004
45,AllGestureWiimoteY-MOMENT,ECE,no cal,0.0838980700641765
46,AllGestureWiimoteY-MOMENT,smECE,no cal,0.07613943698957519
47,AllGestureWiimoteY-MOMENT,ACE,no cal,0.09687043920902252
48,AllGestureWiimoteY-MOMENT,CE,global,0.1711698455492293
49,AllGestureWiimoteY-MOMENT,Brier,global,0.05334022571613916
50,AllGestureWiimoteY-MOMENT,ECE,global,0.07995505655210287
51,AllGestureWiimoteY-MOMENT,smECE,global,0.059703721630281675
52,AllGestureWiimoteY-MOMENT,ACE,global,0.08157788770595384
53,AllGestureWiimoteY-MOMENT,CE,kmeans,0.18254619312328763
54,AllGestureWiimoteY-MOMENT,Brier,kmeans,0.05842247078632876
55,AllGestureWiimoteY-MOMENT,ECE,kmeans,0.06845693771161271
56,AllGestureWiimoteY-MOMENT,smECE,kmeans,0.05896401893132931
57,AllGestureWiimoteY-MOMENT,ACE,kmeans,0.08522650628337568
58,AllGestureWiimoteY-MOMENT,CE,sem aware groupings,0.16956928372383118
59,AllGestureWiimoteY-MOMENT,Brier,sem aware groupings,0.05377672426078362
60,AllGestureWiimoteY-MOMENT,ECE,sem aware groupings,0.052889818350474016
61,AllGestureWiimoteY-MOMENT,smECE,sem aware groupings,0.05448072891612986
62,AllGestureWiimoteY-MOMENT,ACE,sem aware groupings,0.07768530463799835
63,AllGestureWiimoteZ-MOMENT,Accuracy,no cal,0.9
64,AllGestureWiimoteZ-MOMENT,CE,no cal,0.2519113599943394
65,AllGestureWiimoteZ-MOMENT,Brier,no cal,0.07394342639847018
66,AllGestureWiimoteZ-MOMENT,ECE,no cal,0.08176443877544608
67,AllGestureWiimoteZ-MOMENT,smECE,no cal,0.06305970324068948
68,AllGestureWiimoteZ-MOMENT,ACE,no cal,0.09244237084624018
69,AllGestureWiimoteZ-MOMENT,CE,global,0.24971596807033009
70,AllGestureWiimoteZ-MOMENT,Brier,global,0.07713941718670118
71,AllGestureWiimoteZ-MOMENT,ECE,global,0.08404461173848485
72,AllGestureWiimoteZ-MOMENT,smECE,global,0.05419376099099071
73,AllGestureWiimoteZ-MOMENT,ACE,global,0.08012629067952699
74,AllGestureWiimoteZ-MOMENT,CE,kmeans,0.25730095548474896
75,AllGestureWiimoteZ-MOMENT,Brier,kmeans,0.07873602519356553
76,AllGestureWiimoteZ-MOMENT,ECE,kmeans,0.0636589828252738
77,AllGestureWiimoteZ-MOMENT,smECE,kmeans,0.05387420371923575
78,AllGestureWiimoteZ-MOMENT,ACE,kmeans,0.08390983664188559
79,AllGestureWiimoteZ-MOMENT,CE,sem aware groupings,0.2473335564136505
80,AllGestureWiimoteZ-MOMENT,Brier,sem aware groupings,0.0759944340443726
81,AllGestureWiimoteZ-MOMENT,ECE,sem aware groupings,0.0422010771433512
82,AllGestureWiimoteZ-MOMENT,smECE,sem aware groupings,0.04391758308560111
83,AllGestureWiimoteZ-MOMENT,ACE,sem aware groupings,0.06039995906564097
84,ChlorineConcentration-MOMENT,Accuracy,no cal,0.7730192719486081
85,ChlorineConcentration-MOMENT,CE,no cal,0.525763011744432
86,ChlorineConcentration-MOMENT,Brier,no cal,0.172318598544527
87,ChlorineConcentration-MOMENT,ECE,no cal,0.03504487889776175
88,ChlorineConcentration-MOMENT,smECE,no cal,0.022050375720412338
89,ChlorineConcentration-MOMENT,ACE,no cal,0.07413229410982342
90,ChlorineConcentration-MOMENT,CE,global,0.5263829209399696
91,ChlorineConcentration-MOMENT,Brier,global,0.17249013149480302
92,ChlorineConcentration-MOMENT,ECE,global,0.03353313793346728
93,ChlorineConcentration-MOMENT,smECE,global,0.026273167024586156
94,ChlorineConcentration-MOMENT,ACE,global,0.07452191074908801
95,ChlorineConcentration-MOMENT,CE,kmeans,0.5264410858003453
96,ChlorineConcentration-MOMENT,Brier,kmeans,0.17249925566353946
97,ChlorineConcentration-MOMENT,ECE,kmeans,0.03369038456800559
98,ChlorineConcentration-MOMENT,smECE,kmeans,0.025243404187498656
99,ChlorineConcentration-MOMENT,ACE,kmeans,0.0753491721215288
100,ChlorineConcentration-MOMENT,CE,sem aware groupings,0.5354844927787781
101,ChlorineConcentration-MOMENT,Brier,sem aware groupings,0.1755305455923031
102,ChlorineConcentration-MOMENT,ECE,sem aware groupings,0.042813853482362794
103,ChlorineConcentration-MOMENT,smECE,sem aware groupings,0.041971411752468074
104,ChlorineConcentration-MOMENT,ACE,sem aware groupings,0.06458573159811584
105,Computers-MOMENT,Accuracy,no cal,0.648
106,Computers-MOMENT,CE,no cal,0.5862333006981959
107,Computers-MOMENT,Brier,no cal,0.20275439835959366
108,Computers-MOMENT,ECE,no cal,0.05141828839906042
109,Computers-MOMENT,smECE,no cal,0.04762431168471218
